,time,quality,runtime,full tour
Atlanta,0.0,2380447.554908533,0.0,yes
Berlin,0.0021514892578125,10403.860360720962,0.0021514892578125,yes
Boston,0.0019943714141845703,1150959.109894787,0.0019943714141845703,yes
Champaign,0.001999378204345703,65714.18655826355,0.001999378204345703,yes
Cincinnati,0.0,301215.87269038777,0.0,yes
Denver,0.005984783172607422,134748.2450227329,0.005984783172607422,yes
NYC,0.003004789352416992,2027108.3776855262,0.003004789352416992,yes
Philadelphia,0.0015213489532470703,1646247.5826627219,0.0015213489532470703,yes
Roanoke,0.042005300521850586,838287.4873798441,0.042005300521850586,yes
SanFrancisco,0.008081197738647461,1134996.9720079936,0.008081197738647461,yes
Toronto,0.008000850677490234,1675107.6728944543,0.008000850677490234,yes
UKansasState,0.0,68089.15962398786,0.0,yes
UMissouri,0.008020162582397461,178251.6508484084,0.008020162582397461,yes
